Cluster,Topics 2,Topics 3,Topics 4,Topics 5,Topics 6,Topics 7,Topics 8,Topics 9,Topics 10
1,16.330140965801043,18.344043118780093,19.972148334605482,21.385512353373787,22.65925786143557,23.83158748751003,24.924953320438103,25.954074558699535,26.92935732055212
2,21.267180361601856,20.71420427927721,24.633953608771765,30.45360037813191,25.76952546338256,27.628313378421744,28.258272452078483,32.0473916587015,34.020335832278455
3,62.93443765646067,65.69705721824721,55.788885455765524,56.94504812898578,48.08689211907228,48.66580781002867,49.275301403542436,49.898532854286934,49.350507992451355
4,171.01837544963303,138.80164995648897,126.75965861642754,119.48777047155468,112.15391567443588,102.16533863438687,94.8319285435281,94.53579152907402,85.56074386181459
5,150.15667153910314,123.77879879437765,102.55423901422466,86.59318069516091,85.06746744170586,86.34328332732638,78.87560451118138,79.61132527883943,81.80022538349785
6,35.90501699325151,25.51330590004525,25.480527601463937,23.260399566801265,23.326515080195,23.345642146964842,23.3143473799594,23.704927195087144,23.86157960111808
7,95.57575029620737,72.86445025745338,64.96392117359476,57.75037285535069,57.47751199750037,54.28649166253798,50.607761963579634,57.01798793881581,58.106431009293715
8,11.693219187139745,13.444137595920045,14.862661471349101,16.07988249156458,12.731260854650147,13.325924582146605,13.87859312650418,14.397418514730003,14.88810023099747
9,113.7709461634515,100.06001663975057,87.15225011951537,86.33645682315728,84.7326646770191,77.4807944896814,72.74890788892907,72.03116935862047,72.00434228717293
10,23.753422463511267,30.25738524649888,28.09941992161906,40.51669923854077,36.51596707520554,50.0782996482693,44.189468003716605,47.35019257986315,43.434880206374764
13,43.04938656149381,40.474806418986645,41.131234322569604,41.66935528709555,42.24955350012217,43.15344466359201,48.520850336434606,40.25630081172169,39.781091125775454
16,179.59495893367688,144.87718386274682,152.16620294887528,124.88378373059163,120.61052834082166,118.20863256449469,99.64700162246945,95.92745923897556,87.73349321730669
17,149.04343051513567,109.06441714954414,103.21840949688895,96.58403062184982,91.91668543426027,89.59671209075373,89.21040876511803,87.20065197595892,85.93038127392737
18,19.582860812490114,20.081262184876536,20.46482070380792,20.9172119505523,18.506821447963237,18.541366168023785,18.675365908333447,18.697872045139942,18.863532182252595
19,61.05667367951129,44.58960886768158,43.282891006080845,40.44259747144447,39.80560699728389,44.04927236758411,43.8832942854291,42.677012351286315,45.50424971768078
20,16.370303300167397,18.41167320695284,19.776236981592838,19.321536205255516,18.190421675482362,22.34049712125598,23.121258037849213,24.22770927173593,30.89969627678197
21,24.570812795724102,21.012265852401743,22.0833947375116,23.018113332744043,23.35687111086033,19.11512172754027,19.520891901614505,19.914211661526505,20.295720754276402
22,21.071269034371294,17.883392275295613,17.60860802791392,16.902749284143,17.066796584304324,17.295423088159563,17.621870031018336,17.422126249697726,17.72489177614783
23,30.36780578617362,23.64258984155141,24.298662450773747,24.948757864602907,24.127435529257703,26.54584827968585,25.598884717565994,25.07561962136163,25.194272991723498
24,11.628537432205931,14.336976669753371,16.146875320129567,17.654959174615605,16.1468574728352,17.057941904761105,17.926320584522347,18.737051079297824,19.500743642999346
26,49.244740312794484,47.852880489835094,48.57865734088757,46.667343631056546,46.21351550828161,48.37445051756412,49.52712187797418,47.57583606556068,51.78369618392255
27,46.25361318367024,42.9802677731918,42.75359788232396,45.52328602795455,48.49288488348982,44.78281450113518,46.755277037471586,46.995184991858544,46.999241114599144
30,8.56858985091587,10.764836531164619,12.687152625075623,14.445403164908665,16.09488673751205,17.664370809033404,19.170659457592496,20.624753453462027,22.034473192831733
31,8.162884850921133,8.718831668390235,9.116197551161896,9.429770527545884,9.691674974793074,9.918095888768963,10.118379783884599,10.298484931949956,10.46247758885732
35,33.20412187208923,37.762263451510755,41.81951363361377,45.58521473507998,49.15269847707447,52.57076972260348,55.8688916849352,59.06683747111899,62.17886262467201
36,73.57615409998307,67.78441833619486,65.33285441029389,66.016786228514,59.930479404385835,57.73041885574025,58.225139612525,55.71140372859084,60.251076698813534
37,13.704332321425841,12.443638232247277,14.552471260878583,12.934552803442388,12.907295877587154,13.581628945300064,12.14749549208436,11.700356650476564,11.467776594498499
38,110.77334042398788,100.71967824387407,93.88971298340563,102.14772288415966,99.54464958028363,95.70023357283662,93.59138684794662,97.25765555590738,95.32435498380032
39,135.08218857130873,110.03716737172014,88.75091317638764,85.0130523074655,77.55407541855313,72.1316067608616,70.27080030590501,69.19965114278239,66.07698448316424
40,206.78056405469448,168.44431785684847,140.41537215118532,128.07046445616814,124.1521202896041,121.84986159043217,110.08893692718665,117.17032473036069,105.10689254044725
41,201.7730800235268,155.71667328725172,123.3782125212754,103.35831980235419,105.8404398658541,102.59318282081757,92.82065544187896,83.39421480681838,81.00163857104764
42,27.990297235119648,22.914374930884538,21.57825876760617,20.790306953907145,21.415911623791963,23.47452473030929,21.385865034953085,21.71785703387907,25.042414445661347
43,191.91330430160966,162.1913499854097,163.03946301871798,163.51481660265824,160.17756942529584,162.30788571513088,164.3818108665491,163.76187014317568,164.24308186136543
44,91.50501726809645,62.97642209296241,51.560363715155766,49.51348986262941,46.45406323594786,42.809301136274456,39.99091494556683,37.85718517779979,37.32634045504812
